,Module,Indicator,Description,3 Month Ann.,12 Month,3m/12m Has crossover or 1YR +/-,Observed Date
0,MoneyCreditGrowth,m1sl,M1 Money Stock,-3.14,-10.4,TRUE,01-Jul-23
1,MoneyCreditGrowth,m2sl,M2 Money Stock,3.73,-3.69,TRUE,01-Jul-23
2,MoneyCreditGrowth,bogz1fl893169105q,All Sectors; Commercial Paper; Liability (Quartely),70.19,20.44,TRUE,01-Jan-23
3,MoneyCreditGrowth,busloans,Commercial and Industrial Loans,-3.11,1.68,FALSE,01-Jul-23
4,MoneyCreditGrowth,totalsl,Total Consumer Credit Owned and Securitized Outstanding,4.07,5.73,FALSE,01-Jun-23
5,EconomicGrowth,us_leading_index_1968,Index of leading economic indicators (Monthly),-7.47,-6.42,FALSE,17-Aug-23
6,EconomicGrowth,vc ,Housing Permits (Monthly),7.54,-13.8,TRUE,23-Aug-23
7,EconomicGrowth,chicago_pmi_38,Chicago PMI (Monthly),-30.3,-3.94,FALSE,31-Aug-23
8,EconomicGrowth,total_vehicle_sales_85,Auto Sales (Monthly),25.27,20.77,TRUE,05-Jul-23
9,EconomicGrowth,indpro,Industrial Production-Total Index,-0.88,-0.23,FALSE,01-Jul-23
10,EconomicGrowth,nocdfsa066msfrbphi,Current New Orders; Diffusion Index for Federal Reserve District 3-Philadelphia,944.53,-532.43,TRUE,01-Aug-23
11,EconomicGrowth,pce,Personal Consumption Expenditures,6.36,6.39,FALSE,01-Jul-23
12,EconomicGrowth,payems,All Employees Total Nonfarm,1.16,2.01,FALSE,01-Aug-23
13,EconomicGrowth,awhman,Average Weekly Hours of Production and Nonsupervisory Employees Manufacturing,0.99,-0.49,TRUE,01-Aug-23
14,EconomicGrowth,usalolitonostsam,Leading Indicators OECD-Leading indicators-CLI-Normalised for the United States,1,-0.33,TRUE,01-Jul-23
15,EconomicGrowth,houst,New Privately-Owned Housing Units Started-Total Units,34.62,5.91,TRUE,01-Jul-23
16,EconomicGrowth,permit,New Privately-Owned Housing Units Authorized in Permit-Issuing Places-Total Units,7.54,-12.97,TRUE,01-Jul-23
17,EconomicGrowth,ic4wsa,4-Week Moving Average of Initial Claims,0,12.96,FALSE,26-Aug-23
18,EconomicGrowth,htruckssa,Motor Vehicle Retail Sales-Heavy Weight Trucks,36.86,18.61,TRUE,01-Jul-23
19,EconomicGrowth,bogz1fl145020011q,Nonfinancial Business; Inventories (Excluding Farms),-0.29,2.83,FALSE,01-Jan-23
20,EconomicGrowth,gacdfsa066msfrbphi,Current General Activity; Diffusion Index for Federal Reserve District 3-Philadelphia,77.25,90.48,FALSE,01-Aug-23
21,Inflation,cpiaucsl,Consumer Price Index for All Urban Consumers-All Items in U.S. City Average,1.9,3.3,FALSE,01-Jul-23
22,Inflation,ppiaco,Producer Price Index by Commodity-All Commodities,-5.5,-6.97,TRUE,01-Jul-23
23,Inflation,ahetpi,Average Hourly Earnings of Production and Nonsupervisory Employees Total Private,3.96,4.5,FALSE,01-Aug-23
24,Fed Policy,nforbres,Net Free or Borrowed Reserves of Depository Institutions,76.47,28.37,TRUE,01-May-13
25,Fed Policy,bognonbr,Non-Borrowed Reserves of Depository Institutions,71.22,27.7,TRUE,01-May-13
26,Fed Policy,reqresns,Required Reserves of Depository Institution,0,-100,TRUE,01-Aug-20
27,Fed Policy,t10yff,10-Year Treasury Constant Maturity Minus Federal Funds Rate,-17.22,-251.22,TRUE,31-Aug-23
28,Fed Policy,dtb3,3-Month Treasury Bill-Secondary Market Rate,25.13,85.37,FALSE,31-Aug-23
29,Fed Policy,fedfunds,Effective Federal Funds Rate,23.11,128.76,FALSE,01-Aug-23
30,Fed Policy,intdsrusm193n,Interest Rates Discount Rate for United States,0,0,FALSE,01-Aug-21
